mtime	hasOld1	old1UsesApi	old1UsesUpdate	old1UsesArchive	old1ClearsState	hasOld2	old2UsesApi	old2UsesUpdate	old2UsesArchive	old2ClearsState	anyUsesApi	length	file
2026-05-02T02:26:52.831Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_nav_cause_fix_task_ledger_20260502_171821/aicm-production-core.before_nav_cause_fix.js
2026-05-02T08:18:22.010Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_nav_v2_fix_global_button_navigation_20260502_175006/aicm-production-core.before_r8_nav_v2.js
2026-05-02T08:50:07.486Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_nav_v3_clean_task_ledger_open_20260502_180150/aicm-production-core.before_r8_nav_v3_clean.js
2026-05-02T09:01:51.050Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_nav_v4_safe_task_ledger_render_20260502_180737/aicm-production-core.before_r8_nav_v4_safe_render.js
2026-05-02T09:07:38.234Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_nav_v5_restore_is_pending_major_20260502_181057/aicm-production-core.before_restore_isPendingMajor.js
2026-05-02T09:10:58.898Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v5_verify_restore_and_cache_bust_20260502_181812/aicm-production-core.before_verify_v5.js
2026-05-02T09:10:58.898Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v5b_restore_is_pending_major_cache_bust_20260502_182005/aicm-production-core.before_v5b.js
2026-05-02T09:20:06.726Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v6_clean_pending_major_helper_20260502_182558/aicm-production-core.before_r8_v6_clean.js
2026-05-02T09:20:06.726Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v6c_clean_pending_major_helper_20260502_182749/aicm-production-core.before_r8_v6c.js
2026-05-02T09:27:50.494Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v7_clean2_delete_action_helper_20260502_184204/aicm-production-core.before_r8_v7_clean2.js
2026-05-02T09:42:05.790Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v7d2_delete_confirm_visible_20260502_184726/aicm-production-core.before_r8_v7d2.js
2026-05-02T09:42:05.790Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v7d_delete_confirm_visible_20260502_184510/aicm-production-core.before_r8_v7d.js
2026-05-02T09:47:26.946Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v8b_delete_owner_payload_20260502_192606/aicm-production-core.before_r8_v8b.js
2026-05-02T09:47:26.946Z	true	true	false	true	true	false	false	false	false	false	true	1160	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8_v8c_delete_owner_payload_20260502_192943/aicm-production-core.before_r8_v8c.js
2026-05-02T10:29:44.053Z	true	true	false	true	true	false	false	false	false	false	true	1536	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8s_leader_handoff_confirm_flow_20260502_201858/aicm-production-core.before_r8s.js
2026-05-02T11:18:59.358Z	true	true	false	true	true	false	false	false	false	false	true	1536	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8t_leader_inbox_display_20260502_203259/aicm-production-core.before_r8t.js
2026-05-02T11:33:01.710Z	true	true	false	true	true	false	false	false	false	false	true	1536	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8u_manager_major_summary_20260502_204621/aicm-production-core.before_r8u.js
2026-05-02T11:46:22.906Z	true	true	false	true	true	false	false	false	false	false	true	1536	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8v_remove_leader_inbox_ui_20260502_205909/aicm-production-core.before_r8v.js
2026-05-02T11:59:10.482Z	true	true	false	true	true	false	false	false	false	false	true	1536	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8w_leader_auto_flow_display_20260502_210659/aicm-production-core.before_r8w.js
2026-05-02T12:07:00.650Z	true	true	false	true	true	false	false	false	false	false	true	1536	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8z_a_leader_auto_decomposition_route_rollback_20260502_212324/aicm-production-core.before_r8z_a.js
2026-05-02T12:07:00.650Z	true	true	false	true	true	false	false	false	false	false	true	1536	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8z_a_retry_quote_safe_route_rollback_20260502_212603/aicm-production-core.before_r8z_a_retry.js
2026-05-02T12:07:00.650Z	true	true	false	true	true	false	false	false	false	false	true	1536	/data/data/com.termux/files/home/03.civilization-development/03.business-os/AICompanyManager/900.meta/r8z_b_core_auto_call_integration_20260502_212835/aicm-production-core.before_r8z_b.js
